#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
31,Roee Oselka,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Be'er Sheva,H,3,2,Amit Schaerf
,Total,,200,103,70,31,80,27,11,38,24,25,14,12,27,3,3,4,134,0,26,37,9,29,24,30,Be'er Sheva,H,3,2,Amit Schaerf
,Team,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galil Elion,H,7,6,Amit Schaerf
2,Deondre Burns,*,25,5,100,0,50,2,1,3,3,1,1,2,6,1,0,0,10,-2,2,2,0,1,1,2,Galil Elion,H,7,6,Amit Schaerf
3,Justin Smith,*,29,16,70,0,67,7,2,9,3,2,2,3,1,1,0,2,21,14,7,10,0,0,2,3,Galil Elion,H,7,6,Amit Schaerf
5,Ariel Cohen,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galil Elion,H,7,6,Amit Schaerf
8,Shawn Dawson,,23,13,44,33,50,4,2,6,4,5,0,4,6,0,0,2,13,6,4,9,1,3,2,4,Galil Elion,H,7,6,Amit Schaerf
9,Hans Vanwijn,,22,14,43,50,100,1,1,2,3,1,2,0,2,2,0,0,14,11,3,7,2,4,2,2,Galil Elion,H,7,6,Amit Schaerf
11,C.J. Harris,*,30,8,40,25,100,3,0,3,2,7,2,3,4,0,0,0,13,21,2,5,1,4,1,1,Galil Elion,H,7,6,Amit Schaerf
12,Shahar Amir,,18,8,50,67,0,5,0,5,3,0,0,0,0,1,0,0,9,1,1,2,2,3,0,0,Galil Elion,H,7,6,Amit Schaerf
16,Yotam Hanochi,*,20,8,50,0,100,3,1,4,4,2,1,0,0,0,0,1,8,-5,2,4,0,1,4,4,Galil Elion,H,7,6,Amit Schaerf
21,Netanel Artzi,*,30,12,100,40,0,1,0,1,2,0,3,0,5,1,0,0,17,16,3,3,2,5,0,0,Galil Elion,H,7,6,Amit Schaerf
23,Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,-2,0,0,0,1,0,0,Galil Elion,H,7,6,Amit Schaerf
30,Ran Solomon,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galil Elion,H,7,6,Amit Schaerf
,Total,,200,84,57,36,75,27,7,34,25,18,11,13,24,6,0,5,103,0,24,42,8,22,12,16,Galil Elion,H,7,6,Amit Schaerf
,Team,,0,0,0,0,0,4,2,6,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
2,Deondre Burns,,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-5,0,0,0,0,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
3,Justin Smith,*,29,21,64,0,100,6,1,7,2,4,1,4,3,0,1,3,24,22,9,14,0,0,3,3,Hapoel Eilat,H,1,8,Amit Schaerf
8,Shawn Dawson,,25,6,60,0,0,8,0,8,3,3,0,0,6,1,0,0,17,14,3,5,0,1,0,1,Hapoel Eilat,H,1,8,Amit Schaerf
10,Amit Sanker,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2,0,0,0,0,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
11,C.J. Harris,*,27,12,33,67,100,2,1,3,1,3,1,2,4,1,0,0,18,15,1,3,2,3,4,4,Hapoel Eilat,H,1,8,Amit Schaerf
12,Shahar Amir,,10,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,-2,-6,0,0,0,2,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
16,Yotam Hanochi,*,29,14,70,0,0,4,2,6,2,1,1,1,1,0,1,0,12,8,7,10,0,4,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
21,Netanel Artzi,,19,8,100,100,50,2,0,2,3,1,0,1,1,0,0,0,7,7,2,2,1,1,1,2,Hapoel Eilat,H,1,8,Amit Schaerf
22,Drew Crawford,*,27,12,0,67,0,1,1,2,3,1,1,1,2,1,1,0,11,15,0,1,4,6,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
23,Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,1,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
31,Roee Oselka,,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,1,1,0,0,0,0,Hapoel Eilat,H,1,8,Amit Schaerf
44,Niv Misgav,*,28,12,33,67,100,2,3,5,1,3,2,1,6,0,1,0,20,17,2,6,2,3,2,2,Hapoel Eilat,H,1,8,Amit Schaerf
,Total,,200,87,60,43,83,30,10,40,15,16,6,13,25,3,4,3,114,0,25,42,9,21,10,12,Hapoel Eilat,H,1,8,Amit Schaerf
,Team,,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
2,Deondre Burns,,26,20,78,0,100,2,0,2,3,3,1,3,5,0,0,0,22,-2,7,9,0,1,6,6,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
9,Hans Vanwijn,*,27,6,0,40,0,5,1,6,3,3,1,0,2,0,0,0,11,15,0,1,2,5,0,0,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
12,Shahar Amir,,21,16,100,80,0,1,0,1,4,0,0,0,0,0,0,0,12,10,2,2,4,5,0,0,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
15,Kevin Hervey,*,29,21,36,50,50,7,1,8,3,2,3,0,2,1,1,1,21,-2,4,11,4,8,1,2,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
16,Yotam Hanochi,,22,10,100,0,100,3,2,5,2,3,1,1,1,1,0,1,16,6,4,4,0,2,2,2,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
21,Netanel Artzi,*,22,6,50,50,100,2,0,2,3,0,0,1,2,0,1,0,3,-5,1,2,1,2,1,1,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
22,Drew Crawford,*,28,7,50,20,0,5,1,6,3,1,0,0,2,0,1,0,5,14,2,4,1,5,0,1,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
44,Niv Misgav,*,25,12,33,50,80,2,0,2,3,8,0,2,4,0,0,0,16,4,1,3,2,4,4,5,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
,Total,,200,98,58,44,82,28,6,34,24,20,6,9,18,2,3,2,106,0,21,36,14,32,14,17,Hapoel Tel-Aviv,H,19,12,Amit Schaerf
,Team,,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
2,Deondre Burns,*,23,7,20,50,100,2,1,3,2,2,0,2,5,0,2,0,6,0,1,5,1,2,2,2,Hapoel Haifa,A,6,11,Amit Schaerf
8,Shawn Dawson,,9,6,100,0,67,1,0,1,0,3,0,1,2,0,0,0,10,4,2,2,0,0,2,3,Hapoel Haifa,A,6,11,Amit Schaerf
9,Hans Vanwijn,,22,3,0,100,0,4,0,4,2,1,4,2,2,1,2,0,4,21,0,5,1,1,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
10,Amit Sanker,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
12,Shahar Amir,,19,8,100,50,0,1,1,2,3,0,0,1,0,1,0,0,5,22,1,1,2,4,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
15,Kevin Hervey,*,28,22,67,67,100,4,0,4,1,2,1,2,2,0,0,2,24,5,4,6,4,6,2,2,Hapoel Haifa,A,6,11,Amit Schaerf
16,Yotam Hanochi,*,20,5,100,33,0,2,1,3,1,1,0,0,2,0,0,0,8,-11,1,1,1,3,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
21,Netanel Artzi,,24,14,60,67,67,4,2,6,2,4,1,1,3,0,0,0,21,3,3,5,2,3,2,3,Hapoel Haifa,A,6,11,Amit Schaerf
22,Drew Crawford,*,28,19,50,57,100,2,0,2,4,3,1,0,2,0,0,0,18,16,2,4,4,7,3,3,Hapoel Haifa,A,6,11,Amit Schaerf
23,Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,-3,0,1,0,0,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
31,Roee Oselka,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-2,-3,0,0,0,0,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
44,Niv Misgav,*,24,0,0,0,0,0,0,0,3,0,3,5,6,0,0,0,-3,14,0,2,0,2,0,0,Hapoel Haifa,A,6,11,Amit Schaerf
,Total,,200,84,44,54,85,22,5,27,20,16,10,15,24,2,5,2,90,0,14,32,15,28,11,13,Hapoel Haifa,A,6,11,Amit Schaerf
,Team,,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Bnei Herzeliya,A,4,10,Amit Schaerf
2,Deondre Burns,,17,5,33,33,0,0,0,0,4,0,0,1,1,0,0,0,-3,6,1,3,1,3,0,0,Bnei Herzeliya,A,4,10,Amit Schaerf
8,Shawn Dawson,,16,6,100,0,0,3,0,3,2,1,1,1,4,0,0,0,10,-14,3,3,0,2,0,0,Bnei Herzeliya,A,4,10,Amit Schaerf
9,Hans Vanwijn,,15,3,0,0,75,3,1,4,2,3,0,0,1,0,0,0,5,5,0,1,0,2,3,4,Bnei Herzeliya,A,4,10,Amit Schaerf
12,Shahar Amir,,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-5,0,0,0,0,0,0,Bnei Herzeliya,A,4,10,Amit Schaerf
15,Kevin Hervey,*,35,21,71,33,83,8,0,8,3,4,2,4,1,0,0,0,22,-9,5,7,2,6,5,6,Bnei Herzeliya,A,4,10,Amit Schaerf
16,Yotam Hanochi,*,25,14,64,0,0,3,1,4,2,1,0,0,1,0,1,0,10,0,7,11,0,2,0,1,Bnei Herzeliya,A,4,10,Amit Schaerf
21,Netanel Artzi,*,27,8,50,50,75,6,0,6,4,2,1,3,0,0,0,0,7,6,1,2,1,2,3,4,Bnei Herzeliya,A,4,10,Amit Schaerf
22,Drew Crawford,*,25,6,100,25,50,5,0,5,4,2,1,1,0,0,0,0,5,-4,1,1,1,4,1,2,Bnei Herzeliya,A,4,10,Amit Schaerf
44,Niv Misgav,*,33,9,75,25,0,3,0,3,4,4,1,3,10,0,1,0,14,0,3,4,1,4,0,1,Bnei Herzeliya,A,4,10,Amit Schaerf
,Total,,200,72,66,24,67,33,3,36,26,17,6,14,18,0,2,0,71,0,21,32,6,25,12,18,Bnei Herzeliya,A,4,10,Amit Schaerf
,Team,,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Hapoel Jerusalem,A,2,13,Amit Schaerf
2,Deondre Burns,,17,6,50,0,0,2,0,2,0,1,2,3,1,0,0,0,5,-3,3,6,0,1,0,0,Hapoel Jerusalem,A,2,13,Amit Schaerf
9,Hans Vanwijn,,28,2,0,0,100,3,0,3,2,1,0,1,2,0,0,0,3,3,0,0,0,2,2,2,Hapoel Jerusalem,A,2,13,Amit Schaerf
12,Shahar Amir,,15,2,50,0,0,0,1,1,5,0,1,2,1,0,0,0,-5,-3,1,2,0,2,0,0,Hapoel Jerusalem,A,2,13,Amit Schaerf
15,Kevin Hervey,*,35,26,62,44,44,7,0,7,1,7,3,2,1,1,1,0,28,7,5,8,4,9,4,9,Hapoel Jerusalem,A,2,13,Amit Schaerf
16,Yotam Hanochi,*,16,6,17,50,50,2,2,4,4,1,0,0,0,1,1,0,0,-12,1,6,1,2,1,2,Hapoel Jerusalem,A,2,13,Amit Schaerf
21,Netanel Artzi,*,29,11,100,0,100,4,1,5,1,3,1,1,2,0,1,1,17,-2,5,5,0,2,1,1,Hapoel Jerusalem,A,2,13,Amit Schaerf
22,Drew Crawford,*,29,14,100,67,80,4,0,4,5,3,1,3,1,1,0,0,14,8,2,2,2,3,4,5,Hapoel Jerusalem,A,2,13,Amit Schaerf
44,Niv Misgav,*,31,6,50,0,100,1,0,1,2,4,1,2,4,1,0,0,9,7,2,4,0,2,2,2,Hapoel Jerusalem,A,2,13,Amit Schaerf
,Total,,200,73,58,30,67,27,6,33,20,20,9,14,12,4,3,1,77,0,19,33,7,23,14,21,Hapoel Jerusalem,A,2,13,Amit Schaerf
,Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Ness Ziona,H,12,15,Amit Schaerf
6,Tahjere McCall,,28,17,45,0,88,3,2,5,1,7,0,1,2,2,1,0,23,9,5,11,0,0,7,8,Ness Ziona,H,12,15,Amit Schaerf
9,Hans Vanwijn,*,25,5,50,0,50,4,2,6,2,3,0,1,5,0,0,1,10,2,2,4,0,3,1,2,Ness Ziona,H,12,15,Amit Schaerf
12,Shahar Amir,*,28,10,67,67,0,4,0,4,4,0,0,0,1,0,0,0,9,5,2,3,2,3,0,0,Ness Ziona,H,12,15,Amit Schaerf
15,Kevin Hervey,*,29,5,29,0,50,1,0,1,0,2,1,2,1,1,0,0,-2,-1,2,7,0,5,1,2,Ness Ziona,H,12,15,Amit Schaerf
16,Yotam Hanochi,,27,14,50,50,67,7,0,7,3,5,0,3,2,0,1,0,15,13,3,6,2,4,2,3,Ness Ziona,H,12,15,Amit Schaerf
22,Drew Crawford,*,32,14,50,67,0,4,0,4,4,2,1,0,1,0,1,0,14,10,1,2,4,6,0,0,Ness Ziona,H,12,15,Amit Schaerf
44,Niv Misgav,*,31,16,0,83,50,4,2,6,2,3,1,0,7,0,0,0,27,2,0,2,5,6,1,2,Ness Ziona,H,12,15,Amit Schaerf
,Total,,200,81,43,48,71,29,8,37,16,22,3,7,19,3,3,1,100,0,15,35,13,27,12,17,Ness Ziona,H,12,15,Amit Schaerf
,Team,,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel Tel-Aviv,A,8,14,Amit Schaerf
2,Deondre Burns,,13,2,50,0,0,0,0,0,3,1,1,3,0,0,0,0,-4,-11,1,2,0,0,0,1,Hapoel Tel-Aviv,A,8,14,Amit Schaerf
