player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Noam Avivi,,21,7,50,0,50,5,2,7,2,2,0,0,2,0,2,10,-13,3,6,0,0,1,2,Hapoel_Tel-Aviv,H,17,17,Ariel Bet Halahmi
J'Covan Brown,*,32,15,60,33,100,5,0,5,1,4,0,5,3,0,0,17,-25,3,5,1,3,6,6,Hapoel_Tel-Aviv,H,17,17,Ariel Bet Halahmi
Total,,200,74,47,38,73,29,8,37,21,21,6,19,16,2,6,71,0,20,43,6,16,16,22,Hapoel_Tel-Aviv,H,17,17,Ariel Bet Halahmi
Team,,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Sandy Cohen,*,34,18,57,50,80,6,1,7,3,4,0,1,1,1,0,21,1,4,7,2,4,4,5,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Justyn Mutts,*,33,15,58,0,100,7,4,11,4,2,1,3,1,2,1,18,18,7,12,0,1,1,1,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
JP Tokoto,*,30,8,38,0,33,3,4,7,2,3,0,2,3,0,0,8,-1,3,8,0,0,2,6,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Eyal Harel,,18,2,33,0,0,6,2,8,3,0,1,0,0,0,1,4,7,1,3,0,1,0,0,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Muriel Lutati,*,31,8,60,0,100,1,1,2,4,3,3,2,5,0,1,7,-6,3,5,0,5,2,2,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Eidan Alber,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-4,0,1,0,0,0,0,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Noam Avivi,,16,8,50,100,0,0,1,1,2,0,0,0,0,0,0,6,-13,1,2,2,2,0,0,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
J'Covan Brown,*,37,25,50,50,100,2,0,2,2,4,2,4,8,0,0,27,8,4,8,4,8,5,5,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Total,,200,84,50,38,74,26,15,41,20,16,7,14,18,3,3,91,0,23,46,8,21,14,19,Hapoel_Jerusalem,H,21,21,Ariel Bet Halahmi
Team,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Sandy Cohen,*,28,5,50,25,0,5,0,5,3,1,1,4,2,2,0,5,-15,1,2,1,4,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Justyn Mutts,*,30,19,50,100,33,3,2,5,1,5,1,4,3,2,1,21,-15,4,8,3,3,2,6,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
JP Tokoto,*,26,16,64,0,100,3,2,5,3,4,1,2,1,0,0,18,-13,7,11,0,0,2,2,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
