player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Trevion Williams,*,25,14,78,0,0,9,4,13,4,2,0,2,2,0,0,21,-3,7,9,0,1,0,1,Hapoel_Holon,H,21,21,Oded Katash
Total,,200,86,63,33,79,25,14,39,17,20,6,14,16,1,5,97,0,22,35,9,27,15,19,Hapoel_Holon,H,21,21,Oded Katash
Team,,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Jimmy Clark III,*,19,6,0,33,0,1,0,1,2,0,2,3,2,0,0,1,2,0,1,2,6,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Rafi Menco,,10,4,100,0,0,5,1,6,1,0,0,0,0,0,0,9,2,2,2,0,0,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Roman Sorkin,,24,12,67,0,0,5,2,7,1,2,0,3,1,1,0,15,9,6,9,0,1,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Will Rayman,,6,3,0,0,75,2,0,2,1,2,0,1,0,1,0,5,-2,0,0,0,0,3,4,Hapoel_Galil_Elion,A,22,22,Oded Katash
John Dibartolomeo,,25,5,50,33,0,4,0,4,3,0,2,0,3,0,0,8,17,1,2,1,3,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Oren Sahar,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Jake Cohen,*,22,6,0,67,0,5,0,5,1,3,0,0,4,1,0,16,4,0,1,2,3,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Levi Randolph,*,28,10,50,25,50,5,3,8,2,3,0,2,2,0,1,11,18,3,6,1,4,1,2,Hapoel_Galil_Elion,A,22,22,Oded Katash
Rokas Jokubaitis,*,27,13,50,100,100,1,0,1,3,3,0,3,4,0,0,13,7,2,4,1,1,6,6,Hapoel_Galil_Elion,A,22,22,Oded Katash
Tamir Blatt,,15,9,0,75,0,2,0,2,1,0,0,2,3,0,0,10,2,0,0,3,4,0,0,Hapoel_Galil_Elion,A,22,22,Oded Katash
Trevion Williams,*,23,11,38,100,40,5,4,9,2,4,0,1,2,0,0,15,1,3,8,1,1,2,5,Hapoel_Galil_Elion,A,22,22,Oded Katash
Total,,200,79,50,48,71,36,11,47,17,17,4,16,21,3,1,103,0,17,34,11,23,12,17,Hapoel_Galil_Elion,A,22,22,Oded Katash
Team,,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,23,23,Oded Katash
Jaylen Hoard,,8,3,100,0,50,2,0,2,5,1,0,1,1,0,0,0,0,1,1,0,0,1,2,Hapoel_Jerusalem,H,23,23,Oded Katash
Jimmy Clark III,*,26,24,78,40,100,2,0,2,5,3,1,0,4,0,0,24,6,7,9,2,5,4,4,Hapoel_Jerusalem,H,23,23,Oded Katash
Rafi Menco,,18,10,75,33,50,2,5,7,2,1,0,0,1,0,0,13,-5,3,4,1,3,1,2,Hapoel_Jerusalem,H,23,23,Oded Katash
Roman Sorkin,*,34,13,27,33,50,5,4,9,1,4,0,3,2,1,0,12,-4,3,11,2,6,1,2,Hapoel_Jerusalem,H,23,23,Oded Katash
Will Rayman,,5,2,25,0,0,1,2,3,2,0,0,0,0,0,1,-1,-6,1,4,0,0,0,0,Hapoel_Jerusalem,H,23,23,Oded Katash
John Dibartolomeo,,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-1,-13,0,0,0,3,0,0,Hapoel_Jerusalem,H,23,23,Oded Katash
Levi Randolph,*,25,13,100,50,100,1,0,1,4,4,0,3,2,0,0,12,-3,2,2,1,2,6,6,Hapoel_Jerusalem,H,23,23,Oded Katash
Rokas Jokubaitis,*,27,9,33,33,100,0,0,0,2,5,1,3,6,0,1,9,-8,2,6,1,3,2,2,Hapoel_Jerusalem,H,23,23,Oded Katash
Tamir Blatt,,21,3,0,25,0,1,0,1,0,0,1,3,2,0,0,0,-13,0,1,1,4,0,0,Hapoel_Jerusalem,H,23,23,Oded Katash
Trevion Williams,*,24,6,40,0,100,6,2,8,4,3,0,1,2,0,1,8,-14,2,5,0,2,2,2,Hapoel_Jerusalem,H,23,23,Oded Katash
Total,,200,83,49,29,85,22,19,41,25,22,3,14,20,1,3,83,0,21,43,8,28,17,20,Hapoel_Jerusalem,H,23,23,Oded Katash
Team,,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Bnei_Herzliya,H,25,25,Oded Katash
Jaylen Hoard,*,22,8,100,0,100,7,2,9,2,3,0,1,4,1,0,22,19,3,3,0,0,2,2,Bnei_Herzliya,H,25,25,Oded Katash
Jimmy Clark III,,19,13,100,100,100,1,0,1,2,3,2,3,6,0,0,20,2,1,1,3,3,2,2,Bnei_Herzliya,H,25,25,Oded Katash
Rafi Menco,,14,5,67,0,100,3,0,3,1,2,1,0,1,0,1,6,-4,2,3,0,3,1,1,Bnei_Herzliya,H,25,25,Oded Katash
Omer Mayer,,12,2,50,0,0,3,0,3,0,0,0,2,3,0,0,3,-3,1,2,0,2,0,0,Bnei_Herzliya,H,25,25,Oded Katash
Will Rayman,,24,8,0,50,83,6,1,7,4,3,1,0,0,1,0,13,13,0,1,1,2,5,6,Bnei_Herzliya,H,25,25,Oded Katash
John Dibartolomeo,,14,0,0,0,0,1,0,1,0,2,0,0,2,0,0,2,5,0,0,0,3,0,0,Bnei_Herzliya,H,25,25,Oded Katash
Jake Cohen,,23,13,67,100,100,6,1,7,1,1,1,1,0,0,0,18,14,4,6,1,1,2,2,Bnei_Herzliya,H,25,25,Oded Katash
Levi Randolph,*,20,16,71,40,0,0,1,1,2,0,0,0,2,0,0,12,23,5,7,2,5,0,0,Bnei_Herzliya,H,25,25,Oded Katash
Rokas Jokubaitis,*,16,3,50,0,100,2,0,2,1,2,0,1,9,0,0,12,14,1,2,0,1,1,1,Bnei_Herzliya,H,25,25,Oded Katash
Tamir Blatt,*,19,14,100,50,0,2,0,2,0,0,1,2,5,0,0,16,19,1,1,4,8,0,0,Bnei_Herzliya,H,25,25,Oded Katash
Trevion Williams,*,17,23,91,0,60,2,1,3,4,3,2,5,3,0,1,19,13,10,11,0,2,3,5,Bnei_Herzliya,H,25,25,Oded Katash
Total,,200,105,76,37,84,34,8,42,17,19,8,15,35,2,2,146,0,28,37,11,30,16,19,Bnei_Herzliya,H,25,25,Oded Katash
Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Gilboa_Galil,A,24,24,Oded Katash
Jaylen Hoard,*,32,19,64,0,71,6,4,10,2,4,0,1,3,3,0,30,14,7,11,0,0,5,7,Gilboa_Galil,A,24,24,Oded Katash
Jimmy Clark III,,15,2,50,0,0,2,0,2,4,0,4,2,2,0,0,2,1,1,2,0,1,0,0,Gilboa_Galil,A,24,24,Oded Katash
Rafi Menco,,12,8,50,100,0,2,0,2,1,0,0,0,0,0,0,8,-4,1,2,2,2,0,0,Gilboa_Galil,A,24,24,Oded Katash
Roman Sorkin,*,22,12,60,33,0,5,1,6,1,0,1,2,2,0,0,12,11,3,5,2,6,0,0,Gilboa_Galil,A,24,24,Oded Katash
John Dibartolomeo,,9,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,Gilboa_Galil,A,24,24,Oded Katash
Jake Cohen,,4,0,0,0,0,0,1,1,1,1,0,1,0,0,0,-1,-1,0,0,0,1,0,0,Gilboa_Galil,A,24,24,Oded Katash
Levi Randolph,*,32,8,33,33,60,4,1,5,3,7,0,2,4,0,0,13,4,1,3,1,3,3,5,Gilboa_Galil,A,24,24,Oded Katash
Rokas Jokubaitis,*,28,10,20,0,89,3,0,3,2,8,1,4,2,0,2,11,5,1,5,0,0,8,9,Gilboa_Galil,A,24,24,Oded Katash
Tamir Blatt,*,27,15,0,50,60,0,0,0,2,2,1,4,3,0,0,9,6,0,0,4,8,3,5,Gilboa_Galil,A,24,24,Oded Katash
Trevion Williams,,18,6,50,0,0,3,2,5,4,1,0,1,3,0,1,4,-3,3,6,0,0,0,2,Gilboa_Galil,A,24,24,Oded Katash
Total,,200,80,50,41,68,27,12,39,20,23,7,17,21,3,3,94,0,17,34,9,22,19,28,Gilboa_Galil,A,24,24,Oded Katash
Team,,0,0,0,0,0,2,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Jaylen Hoard,*,32,11,60,0,62,5,0,5,2,5,4,1,4,2,0,23,15,3,5,0,0,5,8,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Jimmy Clark III,,16,8,100,40,0,0,0,0,1,1,0,4,2,1,0,4,4,1,1,2,5,0,0,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Rafi Menco,,10,2,50,0,0,0,0,0,2,0,0,1,0,0,0,-3,-9,1,2,0,1,0,0,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Roman Sorkin,,21,15,86,0,100,2,2,4,3,6,2,2,2,0,0,22,-1,6,7,0,1,3,3,Ironi_Kiryat_Ata,H,26,26,Oded Katash
John Dibartolomeo,,5,0,0,0,0,1,1,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Jake Cohen,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-6,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Levi Randolph,*,31,18,80,38,100,3,1,4,4,2,1,4,1,0,1,11,16,4,5,3,8,1,1,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Rokas Jokubaitis,*,32,23,80,60,86,2,1,3,2,6,2,1,4,0,0,31,11,4,5,3,5,6,7,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Tamir Blatt,*,29,6,0,25,0,2,0,2,2,0,0,2,8,0,0,6,11,0,0,2,8,0,0,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Trevion Williams,*,22,10,100,0,0,5,4,9,2,1,0,1,3,0,0,17,24,5,5,0,1,0,2,Ironi_Kiryat_Ata,H,26,26,Oded Katash
Total,,200,93,80,34,71,22,10,32,19,22,9,18,25,3,1,115,0,24,30,10,29,15,21,Ironi_Kiryat_Ata,H,26,26,Oded Katash
