player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Total,,200,77,48,44,61,24,9,33,18,21,9,13,27,7,2,102,0,15,31,11,25,14,23,Maccabi_Ramat_Gan,H,22,22,Guy Kaplan
Team,,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Hapoel_Haifa,A,25,25,Guy Kaplan
Mike Davis Jr.,*,24,17,56,40,50,2,1,3,5,4,1,3,2,0,2,9,12,5,9,2,5,1,2,Hapoel_Haifa,A,25,25,Guy Kaplan
Jordan Hall,,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-5,-12,0,2,0,3,0,0,Hapoel_Haifa,A,25,25,Guy Kaplan
Michale Kyser,*,34,9,43,0,75,6,1,7,0,3,2,4,2,6,0,20,-4,3,7,0,0,3,4,Hapoel_Haifa,A,25,25,Guy Kaplan
Netanel Artzi,*,34,15,71,100,67,7,3,10,4,3,3,3,4,0,0,25,8,5,7,1,1,2,3,Hapoel_Haifa,A,25,25,Guy Kaplan
D.J. Cooper,*,28,3,0,33,0,4,1,5,2,2,2,4,7,0,0,11,1,0,0,1,3,0,0,Hapoel_Haifa,A,25,25,Guy Kaplan
Eliad Tal,,6,5,100,100,0,0,1,1,0,1,0,0,0,0,0,6,-1,1,1,1,1,0,1,Hapoel_Haifa,A,25,25,Guy Kaplan
Justin Alston,*,32,14,50,0,40,1,3,4,4,3,1,1,1,1,2,4,11,6,12,0,4,2,5,Hapoel_Haifa,A,25,25,Guy Kaplan
Yiftach Ziv,,27,18,67,40,0,7,2,9,4,4,0,5,5,0,0,21,-10,6,9,2,5,0,0,Hapoel_Haifa,A,25,25,Guy Kaplan
Total,,200,81,55,32,53,30,14,44,19,21,9,21,21,7,4,96,0,26,47,7,22,8,15,Hapoel_Haifa,A,25,25,Guy Kaplan
Team,,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Mike Davis Jr.,*,28,17,62,25,67,1,0,1,3,4,4,1,3,0,0,17,14,5,8,1,4,4,6,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Michale Kyser,,16,0,0,0,0,1,0,1,3,0,0,3,1,0,0,-5,6,0,1,0,0,0,0,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Dakarai Tucker,,16,12,67,40,100,1,2,3,0,1,0,0,0,0,0,12,-21,2,3,2,5,2,2,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Idan Zalmanson,*,19,13,86,0,50,2,2,4,3,1,1,0,0,0,0,13,-2,6,7,0,1,1,2,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Netanel Artzi,*,27,9,33,50,67,2,2,4,2,3,1,1,1,1,2,9,7,1,3,1,2,4,6,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
D.J. Cooper,*,28,8,67,0,100,4,2,6,2,5,3,5,14,0,0,23,1,2,3,0,5,4,4,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Eliad Tal,,13,0,0,0,0,0,1,1,1,1,0,1,0,0,0,-3,18,0,2,0,1,0,0,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Justin Alston,*,26,19,64,100,67,3,3,6,5,3,2,2,3,1,0,22,6,7,11,1,1,2,3,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Yiftach Ziv,,27,20,38,50,100,6,2,8,3,9,3,2,2,0,1,29,1,3,8,2,4,8,8,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Total,,200,98,57,30,81,22,17,39,22,27,14,15,24,2,3,122,0,26,46,7,23,25,31,Ironi_Kiryat_Ata,A,23,23,Guy Kaplan
Team,,0,0,0,0,0,3,3,6,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,Elitzur_Netanya,A,26,26,Guy Kaplan
Jordan Hall,,13,0,0,0,0,2,0,2,1,1,0,2,1,0,0,-4,1,0,1,0,4,0,0,Elitzur_Netanya,A,26,26,Guy Kaplan
Shahar Amir,,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-1,-8,0,0,0,1,0,0,Elitzur_Netanya,A,26,26,Guy Kaplan
Michale Kyser,*,31,18,83,0,80,1,4,5,2,7,0,0,1,1,0,27,4,5,6,0,0,8,10,Elitzur_Netanya,A,26,26,Guy Kaplan
Dakarai Tucker,*,28,15,100,57,50,1,1,2,5,1,1,0,1,0,0,11,5,1,1,4,7,1,2,Elitzur_Netanya,A,26,26,Guy Kaplan
Netanel Artzi,*,28,13,50,40,50,1,2,3,4,2,2,1,1,0,1,8,-4,3,6,2,5,1,2,Elitzur_Netanya,A,26,26,Guy Kaplan
D.J. Cooper,*,33,10,100,20,0,1,0,1,2,0,2,1,14,0,0,16,-8,2,2,2,10,0,0,Elitzur_Netanya,A,26,26,Guy Kaplan
Justin Alston,,25,9,25,0,75,3,4,7,3,2,0,2,0,0,1,0,-11,3,12,0,2,3,4,Elitzur_Netanya,A,26,26,Guy Kaplan
Yiftach Ziv,*,34,18,50,33,83,8,1,9,4,9,3,3,7,1,0,32,1,5,10,1,3,5,6,Elitzur_Netanya,A,26,26,Guy Kaplan
Total,,200,83,50,28,75,21,15,36,22,22,8,11,25,2,2,93,0,19,38,9,32,18,24,Elitzur_Netanya,A,26,26,Guy Kaplan
