player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Chris Smith,*,34,20,78,20,50,7,4,11,4,5,3,5,4,0,1,24,6,7,9,1,5,3,6,Elitzur_Netanya,A,32,32,Eldad Bentov 
Keandre Cook,*,36,16,43,33,100,3,1,4,4,4,0,1,1,0,1,11,10,3,7,2,6,4,4,Elitzur_Netanya,A,32,32,Eldad Bentov 
Liam O'Reilly,*,33,11,20,30,0,5,0,5,1,2,2,3,2,0,0,7,7,1,5,3,10,0,0,Elitzur_Netanya,A,32,32,Eldad Bentov 
Yuval Levin,,22,13,100,67,83,3,1,4,3,3,2,2,1,0,0,16,1,1,1,2,3,5,6,Elitzur_Netanya,A,32,32,Eldad Bentov 
Yahav Shitrit,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Elitzur_Netanya,A,32,32,Eldad Bentov 
Ziv Bellaiche,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Elitzur_Netanya,A,32,32,Eldad Bentov 
Silvio De Sousa,*,31,12,67,100,83,6,4,10,2,3,1,2,2,0,0,22,20,2,3,1,1,5,6,Elitzur_Netanya,A,32,32,Eldad Bentov 
Gal Baitner,,18,2,50,0,0,0,3,3,3,0,0,4,3,0,1,-3,7,1,2,0,2,0,0,Elitzur_Netanya,A,32,32,Eldad Bentov 
Yariv Amiram,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elitzur_Netanya,A,32,32,Eldad Bentov 
Yuval Sznaiderman,*,23,8,33,25,50,2,2,4,5,3,2,3,3,0,0,4,12,2,6,1,4,1,2,Elitzur_Netanya,A,32,32,Eldad Bentov 
Total,,200,82,52,32,75,29,17,46,22,20,10,20,16,0,3,86,0,17,33,10,31,18,24,Elitzur_Netanya,A,32,32,Eldad Bentov 
