player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Jared Harper,,25,11,100,50,100,2,2,4,1,2,2,1,5,0,0,20,13,1,1,2,4,3,3,Elitzur_Netanya,A,12,12,Jonathan Alon
Khadeen Carrington,*,21,15,38,33,100,1,1,2,3,3,0,1,0,0,0,9,23,3,8,1,3,6,6,Elitzur_Netanya,A,12,12,Jonathan Alon
Chris Johnson,*,21,6,0,50,75,2,1,3,2,2,3,0,2,0,0,10,15,0,2,1,2,3,4,Elitzur_Netanya,A,12,12,Jonathan Alon
Gabriel Chachashvili,*,25,10,67,0,100,3,4,7,2,3,0,5,2,0,1,12,12,4,6,0,0,2,2,Elitzur_Netanya,A,12,12,Jonathan Alon
Nir Perri,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-3,0,0,0,0,0,0,Elitzur_Netanya,A,12,12,Jonathan Alon
Yarin Hasson,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,Elitzur_Netanya,A,12,12,Jonathan Alon
Jeremy Morgan,,21,9,0,25,100,3,1,4,1,3,1,0,4,0,0,17,30,0,0,1,4,6,6,Elitzur_Netanya,A,12,12,Jonathan Alon
Tarik Phillip,*,29,7,60,0,33,5,1,6,2,4,0,1,4,0,1,10,6,3,5,0,3,1,3,Elitzur_Netanya,A,12,12,Jonathan Alon
Yovel Zoosman,*,24,19,25,71,100,3,0,3,4,3,3,4,1,1,1,16,6,1,4,5,7,2,2,Elitzur_Netanya,A,12,12,Jonathan Alon
Egor Koulechov,,16,9,0,60,0,2,0,2,2,0,1,0,0,1,0,8,9,0,1,3,5,0,0,Elitzur_Netanya,A,12,12,Jonathan Alon
Total,,200,98,49,46,89,27,16,43,20,21,12,15,19,3,4,121,0,17,35,13,28,25,28,Elitzur_Netanya,A,12,12,Jonathan Alon
Team,,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Jared Harper,*,34,29,67,22,83,5,0,5,2,11,1,0,1,0,0,33,2,4,6,2,9,15,18,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Khadeen Carrington,,26,10,50,0,100,1,0,1,3,2,1,0,2,0,0,3,1,4,8,0,6,2,2,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Gabriel Chachashvili,,32,3,11,0,50,4,0,4,1,3,2,1,0,0,0,-1,1,1,9,0,2,1,2,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Noam Dovrat,,15,2,0,0,100,0,1,1,2,1,0,2,3,0,0,0,-2,0,1,0,2,2,2,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Jeremy Morgan,*,25,5,40,0,50,2,5,7,4,1,2,0,2,0,0,7,2,2,5,0,2,1,2,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Tarik Phillip,,15,0,0,0,0,4,1,5,3,1,1,4,1,0,0,-1,6,0,0,0,2,0,0,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Derek Ogbeide,*,18,11,80,0,75,5,1,6,0,2,0,0,0,0,0,17,0,4,5,0,0,3,4,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Yovel Zoosman,*,37,16,29,67,75,5,1,6,2,4,4,0,4,1,1,24,8,2,7,2,3,6,8,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Or Cornelius,*,23,8,33,67,0,2,4,6,2,0,0,1,1,0,0,9,2,1,3,2,3,0,0,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Total,,225,84,41,21,79,30,15,45,21,25,11,8,14,1,1,93,0,18,44,6,29,30,38,Hapoel_Galil_Elion,H,9,9,Jonathan Alon
Team,,0,0,0,0,0,6,2,8,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Hapoel_Afula,H,7,7,Jonathan Alon
Jared Harper,,26,28,25,75,89,3,1,4,3,9,0,4,4,0,0,32,-3,1,4,6,8,8,9,Hapoel_Afula,H,7,7,Jonathan Alon
Khadeen Carrington,*,26,8,33,0,100,2,0,2,2,3,0,3,4,0,1,2,5,2,6,0,5,4,4,Hapoel_Afula,H,7,7,Jonathan Alon
Chris Johnson,*,24,6,100,0,100,6,2,8,3,1,1,1,2,1,0,11,2,2,2,0,4,2,2,Hapoel_Afula,H,7,7,Jonathan Alon
Gabriel Chachashvili,*,27,2,100,0,0,1,0,1,2,2,2,2,2,1,0,6,-6,1,1,0,0,0,0,Hapoel_Afula,H,7,7,Jonathan Alon
Noam Dovrat,*,22,9,33,50,50,1,1,2,1,2,0,5,0,0,1,1,-5,1,3,2,4,1,2,Hapoel_Afula,H,7,7,Jonathan Alon
Jeremy Morgan,,23,10,50,50,100,5,0,5,3,5,3,0,1,0,0,18,8,1,2,2,4,2,2,Hapoel_Afula,H,7,7,Jonathan Alon
Derek Ogbeide,,18,10,100,0,50,3,1,4,3,2,0,1,0,0,0,10,7,4,4,0,0,2,4,Hapoel_Afula,H,7,7,Jonathan Alon
Yovel Zoosman,*,23,5,0,50,100,2,0,2,2,1,1,1,0,1,0,3,-8,0,3,1,2,2,2,Hapoel_Afula,H,7,7,Jonathan Alon
Or Cornelius,,11,2,50,0,0,1,0,1,2,0,1,1,1,0,0,-1,10,1,2,0,2,0,0,Hapoel_Afula,H,7,7,Jonathan Alon
Total,,200,80,48,38,84,30,7,37,22,25,8,18,14,3,2,89,0,13,27,11,29,21,25,Hapoel_Afula,H,7,7,Jonathan Alon
Team,,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Justin Smith,*,28,18,69,0,0,4,4,8,2,1,2,1,0,0,0,22,-9,9,13,0,0,0,0,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Jared Harper,*,27,15,25,38,67,0,1,1,2,3,2,3,7,2,0,15,-11,1,4,3,8,4,6,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Khadeen Carrington,,29,21,62,33,100,4,0,4,3,4,3,1,4,0,0,25,0,5,8,2,6,5,5,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Gabriel Chachashvili,*,25,9,60,100,0,2,2,4,2,3,1,2,3,1,1,11,20,3,5,1,1,0,3,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Jeremy Morgan,,26,8,100,67,0,2,0,2,1,0,1,1,1,1,0,10,11,1,1,2,3,0,0,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Tarik Phillip,*,19,5,50,0,50,1,0,1,3,4,2,3,3,0,0,5,-1,2,4,0,1,1,2,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Derek Ogbeide,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Yovel Zoosman,*,34,7,20,17,100,6,2,8,3,2,1,0,2,1,0,9,-6,1,5,1,6,2,2,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Egor Koulechov,,9,3,100,0,100,0,0,0,1,1,0,0,0,0,0,2,-8,1,1,0,1,1,1,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Total,,200,86,56,35,68,20,10,30,17,18,12,12,20,5,1,100,0,23,41,9,26,13,19,Maccabi_Ramat_Gan,H,13,13,Jonathan Alon
Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Holon,A,15,15,Jonathan Alon
Justin Smith,*,24,10,62,0,0,1,3,4,1,0,2,0,1,0,0,13,10,5,8,0,0,0,0,Hapoel_Holon,A,15,15,Jonathan Alon
Jared Harper,,24,18,25,75,71,0,0,0,0,5,3,1,6,0,0,22,-4,2,8,3,4,5,7,Hapoel_Holon,A,15,15,Jonathan Alon
Khadeen Carrington,*,30,17,57,20,100,3,1,4,4,5,0,3,3,0,0,15,2,4,7,1,5,6,6,Hapoel_Holon,A,15,15,Jonathan Alon
Chris Johnson,*,27,18,67,100,67,7,4,11,2,5,1,1,0,0,0,28,15,4,6,2,2,4,6,Hapoel_Holon,A,15,15,Jonathan Alon
Gabriel Chachashvili,,21,6,100,0,0,2,0,2,2,0,1,1,0,1,0,7,-4,3,3,0,0,0,0,Hapoel_Holon,A,15,15,Jonathan Alon
Jeremy Morgan,*,23,5,100,33,0,3,1,4,3,0,0,1,1,1,0,5,12,1,1,1,3,0,0,Hapoel_Holon,A,15,15,Jonathan Alon
Tarik Phillip,*,21,3,0,33,0,4,2,6,2,3,0,1,2,1,1,3,6,0,4,1,3,0,2,Hapoel_Holon,A,15,15,Jonathan Alon
Yovel Zoosman,,22,8,33,50,0,4,1,5,2,1,2,2,3,0,0,11,2,1,3,2,4,0,0,Hapoel_Holon,A,15,15,Jonathan Alon
Egor Koulechov,,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9,0,0,0,1,0,0,Hapoel_Holon,A,15,15,Jonathan Alon
Total,,200,85,50,45,71,25,13,38,16,19,9,10,17,3,1,106,0,20,40,10,22,15,21,Hapoel_Holon,A,15,15,Jonathan Alon
Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Justin Smith,,22,4,50,0,0,1,1,2,1,0,2,0,0,0,1,4,-3,2,4,0,0,0,0,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Jared Harper,*,32,30,64,43,78,4,0,4,1,6,0,4,6,0,0,31,22,7,11,3,7,7,9,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Khadeen Carrington,,29,16,29,50,86,2,0,2,3,4,0,2,2,0,0,11,0,2,7,2,4,6,7,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Chris Johnson,*,17,2,50,0,0,3,1,4,4,1,2,1,2,0,0,4,9,1,2,0,1,0,0,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Austin Wiley,*,18,15,100,0,75,7,3,10,0,3,1,1,0,2,0,29,15,6,6,0,0,3,4,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Noam Dovrat,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Nimrod Levi,,15,4,0,50,25,1,0,1,3,4,2,1,1,0,0,4,-4,0,0,1,2,1,4,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Jeremy Morgan,*,28,11,0,60,100,2,0,2,4,3,0,1,3,1,0,13,15,0,0,3,5,2,2,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Yovel Zoosman,*,28,11,25,75,0,2,0,2,3,3,2,2,5,0,0,14,8,1,4,3,4,0,0,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Or Cornelius,,10,2,100,0,0,1,0,1,2,0,0,0,0,0,0,0,-4,1,1,0,1,0,0,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
Total,,200,95,57,50,73,25,6,31,22,24,9,12,19,3,1,112,0,20,35,12,24,19,26,Maccabi_Tel-Aviv,A,23,23,Jonathan Alon
