player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Josh Hawley,,20,4,67,0,0,3,1,4,3,0,3,1,2,0,0,7,-14,2,3,0,1,0,0,Hapoel_Galil_Elion,H,17,17,Yehu Orland
Ethan Burg,*,14,3,0,33,0,3,0,3,3,0,0,0,1,0,0,2,0,0,0,1,3,0,0,Hapoel_Galil_Elion,H,17,17,Yehu Orland
Total,,200,85,57,24,85,32,13,45,18,19,7,15,22,2,1,104,0,21,37,7,29,22,26,Hapoel_Galil_Elion,H,17,17,Yehu Orland
Team,,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Gilboa_Galil,A,19,19,Yehu Orland
Daeshon Francis,,22,15,60,50,75,4,2,6,4,5,1,1,4,0,1,20,1,3,5,1,2,6,8,Gilboa_Galil,A,19,19,Yehu Orland
Frederic Bourdillon,,17,7,100,100,100,2,0,2,3,2,0,1,0,0,0,7,9,1,1,1,1,2,2,Gilboa_Galil,A,19,19,Yehu Orland
John Meeks,*,38,22,50,45,100,0,2,2,2,0,2,0,0,0,1,14,5,3,6,5,11,1,1,Gilboa_Galil,A,19,19,Yehu Orland
Shalev Lugashi,,9,7,50,100,100,2,0,2,4,1,3,0,2,0,1,9,14,1,2,1,1,2,2,Gilboa_Galil,A,19,19,Yehu Orland
Omer Ben David,*,7,4,0,33,50,0,0,0,1,1,1,2,2,0,0,2,0,0,0,1,3,1,2,Gilboa_Galil,A,19,19,Yehu Orland
Chris Silva,*,23,8,40,0,67,4,2,6,4,3,0,7,2,2,0,5,6,2,5,0,0,4,6,Gilboa_Galil,A,19,19,Yehu Orland
Josh Hawley,*,26,11,38,50,67,6,4,10,2,2,1,0,4,2,2,19,0,3,8,1,2,2,3,Gilboa_Galil,A,19,19,Yehu Orland
Ethan Burg,,23,8,50,25,25,1,0,1,4,4,1,0,4,0,0,6,-2,2,4,1,4,1,4,Gilboa_Galil,A,19,19,Yehu Orland
Elijah Stewart,*,35,11,67,0,60,3,0,3,3,5,1,1,4,1,0,12,2,4,6,0,5,3,5,Gilboa_Galil,A,19,19,Yehu Orland
Total,,200,93,51,38,67,23,12,35,28,23,10,12,22,5,5,96,0,19,37,11,29,22,33,Gilboa_Galil,A,19,19,Yehu Orland
Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Daeshon Francis,*,23,12,50,0,100,2,1,3,4,3,1,0,2,0,1,13,4,3,6,0,0,6,6,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Alon Michaeli,*,8,2,100,0,0,2,1,3,1,0,0,0,0,1,0,5,-4,1,1,0,0,0,0,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Frederic Bourdillon,,21,11,100,40,75,1,1,2,4,2,0,1,3,0,0,9,15,1,1,2,5,3,4,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
John Meeks,*,33,14,100,30,75,1,0,1,0,2,2,1,1,0,0,11,0,1,1,3,10,3,4,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Shalev Lugashi,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-5,0,0,0,1,0,0,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Chris Silva,*,35,23,50,0,83,8,2,10,1,11,1,4,2,3,0,36,1,4,8,0,2,15,18,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Josh Hawley,,18,2,50,0,0,4,2,6,4,2,3,3,0,0,0,5,0,1,2,0,0,0,0,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Ethan Burg,,29,9,67,33,50,3,0,3,4,3,1,1,5,0,0,11,4,2,3,1,3,2,4,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Elijah Stewart,*,32,25,60,43,80,0,1,1,3,4,0,3,4,0,0,19,-10,6,10,3,7,4,5,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Total,,200,98,59,32,80,23,10,33,21,27,8,13,17,4,2,111,0,19,32,9,28,33,41,Be'er_Sheva_Dimona,A,20,20,Yehu Orland
Team,,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Ness_Ziona,A,23,23,Yehu Orland
Markell Johnson,*,25,9,29,50,67,1,0,1,3,5,2,1,4,0,2,8,-13,2,7,1,2,2,3,Ness_Ziona,A,23,23,Yehu Orland
Daeshon Francis,,12,2,20,0,0,0,1,1,1,0,1,2,0,0,0,-4,-4,1,5,0,1,0,0,Ness_Ziona,A,23,23,Yehu Orland
Alon Michaeli,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,Ness_Ziona,A,23,23,Yehu Orland
Frederic Bourdillon,,13,6,0,50,0,1,1,2,1,0,0,0,1,0,0,5,1,0,1,2,4,0,0,Ness_Ziona,A,23,23,Yehu Orland
John Meeks,*,36,16,80,25,100,6,2,8,2,2,1,0,5,0,0,23,-3,4,5,2,8,2,2,Ness_Ziona,A,23,23,Yehu Orland
Shalev Lugashi,*,17,6,75,0,0,3,0,3,2,1,0,1,2,0,0,5,-6,3,4,0,3,0,0,Ness_Ziona,A,23,23,Yehu Orland
Josh Hawley,*,32,16,40,67,100,8,2,10,4,1,2,1,1,0,1,17,-3,4,10,2,3,2,2,Ness_Ziona,A,23,23,Yehu Orland
Ethan Burg,,31,18,62,33,67,4,0,4,1,5,2,0,8,0,1,27,-5,5,8,2,6,2,3,Ness_Ziona,A,23,23,Yehu Orland
Elijah Stewart,*,33,10,25,17,100,3,0,3,1,2,0,3,3,3,0,9,-12,1,4,1,6,5,5,Ness_Ziona,A,23,23,Yehu Orland
Total,,200,83,45,30,87,28,11,39,15,16,8,8,24,3,4,97,0,20,44,10,33,13,15,Ness_Ziona,A,23,23,Yehu Orland
Team,,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel_Haifa,H,24,24,Yehu Orland
Markell Johnson,*,31,13,50,33,100,8,0,8,3,1,2,5,9,2,1,20,2,4,8,1,3,2,2,Hapoel_Haifa,H,24,24,Yehu Orland
Daeshon Francis,*,22,6,40,0,100,3,1,4,5,2,0,0,0,0,0,4,14,2,5,0,0,2,2,Hapoel_Haifa,H,24,24,Yehu Orland
Alon Michaeli,*,13,4,100,0,0,3,2,5,1,4,1,3,0,0,0,8,-8,2,2,0,1,0,1,Hapoel_Haifa,H,24,24,Yehu Orland
Frederic Bourdillon,,14,0,0,0,0,2,0,2,2,0,0,1,0,0,0,-3,3,0,1,0,1,0,0,Hapoel_Haifa,H,24,24,Yehu Orland
John Meeks,*,35,20,43,100,100,3,2,5,2,2,0,1,2,1,0,23,14,3,7,3,3,5,5,Hapoel_Haifa,H,24,24,Yehu Orland
Yoal Shamri,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,Hapoel_Haifa,H,24,24,Yehu Orland
Shalev Lugashi,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hapoel_Haifa,H,24,24,Yehu Orland
Alon Aronovich,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-4,-9,0,2,0,0,0,2,Hapoel_Haifa,H,24,24,Yehu Orland
Josh Hawley,,22,8,0,100,83,3,2,5,3,3,1,2,0,0,0,7,0,0,4,1,1,5,6,Hapoel_Haifa,H,24,24,Yehu Orland
Ethan Burg,,24,14,50,25,100,5,1,6,4,3,0,5,5,1,1,12,15,4,8,1,4,3,3,Hapoel_Haifa,H,24,24,Yehu Orland
Elijah Stewart,*,34,35,88,83,86,0,1,1,3,5,1,2,0,1,0,35,17,7,8,5,6,6,7,Hapoel_Haifa,H,24,24,Yehu Orland
Total,,200,100,49,58,82,29,10,39,23,21,5,19,16,5,3,105,0,22,45,11,19,23,28,Hapoel_Haifa,H,24,24,Yehu Orland
Team,,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Daeshon Francis,*,25,4,33,0,100,6,0,6,2,3,1,1,8,0,0,17,8,1,3,0,0,2,2,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Alon Michaeli,,11,5,67,0,100,2,0,2,5,1,0,2,0,0,0,0,3,2,3,0,0,1,1,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Frederic Bourdillon,,21,11,100,33,0,2,0,2,2,1,1,0,0,0,0,7,18,1,1,3,9,0,0,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
John Meeks,*,26,15,43,75,0,5,3,8,1,2,2,3,4,0,0,22,19,3,7,3,4,0,0,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Yoal Shamri,,5,1,0,0,50,0,1,1,0,1,1,0,0,0,0,-2,-11,0,3,0,2,1,2,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Shalev Lugashi,*,22,15,75,60,0,2,1,3,4,0,1,4,2,0,0,10,6,3,4,3,5,0,0,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Omer Ben David,,10,2,33,0,0,3,0,3,1,1,1,1,3,0,0,6,9,1,3,0,0,0,0,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Alon Aronovich,,9,0,0,0,0,1,0,1,2,2,0,3,0,0,0,-7,-16,0,1,0,0,0,4,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Josh Hawley,*,21,8,75,0,67,4,4,8,1,2,3,3,2,2,0,16,9,3,4,0,3,2,3,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Ethan Burg,,26,10,60,50,50,3,1,4,2,2,0,0,5,0,0,15,3,3,5,1,2,1,2,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Elijah Stewart,*,24,19,71,100,75,3,1,4,3,4,0,4,1,2,0,20,17,5,7,2,2,3,4,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Total,,200,90,54,44,56,33,11,44,23,19,10,21,25,4,0,106,0,22,41,12,27,10,18,Ironi_Kiryat_Ata,H,22,22,Yehu Orland
Team,,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Hapoel_Afula,H,26,26,Yehu Orland
Markell Johnson,*,32,14,33,40,100,1,2,3,1,3,3,3,12,0,0,24,6,2,6,2,5,4,4,Hapoel_Afula,H,26,26,Yehu Orland
Daeshon Francis,,25,14,57,0,100,2,2,4,3,4,1,3,2,0,0,16,0,4,7,0,0,6,6,Hapoel_Afula,H,26,26,Yehu Orland
Alon Michaeli,,12,5,100,50,0,3,0,3,2,0,0,0,0,0,0,5,-3,1,1,1,2,0,0,Hapoel_Afula,H,26,26,Yehu Orland
Frederic Bourdillon,,25,8,100,33,0,5,0,5,4,0,2,1,2,0,0,8,12,1,1,2,6,0,0,Hapoel_Afula,H,26,26,Yehu Orland
John Meeks,*,38,25,25,50,100,3,1,4,1,3,0,0,3,0,0,24,17,1,4,7,14,2,2,Hapoel_Afula,H,26,26,Yehu Orland
Yoal Shamri,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,Hapoel_Afula,H,26,26,Yehu Orland
Shalev Lugashi,*,12,0,0,0,0,0,0,0,2,0,0,1,1,0,1,-6,-2,0,1,0,2,0,0,Hapoel_Afula,H,26,26,Yehu Orland
Alon Aronovich,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,Hapoel_Afula,H,26,26,Yehu Orland
Josh Hawley,*,25,9,50,0,75,7,5,12,2,3,0,1,1,1,0,17,19,3,6,0,2,3,4,Hapoel_Afula,H,26,26,Yehu Orland
Elijah Stewart,*,29,24,78,29,100,3,1,4,3,5,0,2,2,1,0,24,6,7,9,2,7,4,4,Hapoel_Afula,H,26,26,Yehu Orland
Total,,200,99,54,37,95,27,13,40,18,18,6,11,23,2,1,117,0,19,35,14,38,19,20,Hapoel_Afula,H,26,26,Yehu Orland
