player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Rawle Alkins,*,32,11,31,25,0,3,2,5,4,3,2,2,1,1,0,5,-6,4,13,1,4,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Lennard Freeman,*,33,11,45,0,33,7,1,8,0,4,1,1,0,0,1,14,-18,5,11,0,0,1,3,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Tomer Asayag,,22,4,25,0,0,0,2,2,2,0,0,1,3,0,0,-4,1,2,8,0,4,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Ben Maman,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Shahar Amir,,8,0,0,0,0,0,0,0,2,0,1,0,1,0,0,-1,-11,0,0,0,1,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Marcus Carr,*,33,14,75,40,100,0,1,1,3,1,3,4,3,0,1,10,-5,3,4,2,5,2,2,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Yotam Hanochi,*,35,18,60,50,60,5,0,5,2,5,0,0,1,0,1,19,-6,3,5,3,6,3,5,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Ron Cohen,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Or Hen,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Lucas Goldenberg,*,33,9,50,25,0,3,4,7,4,4,2,0,2,0,0,13,-15,3,6,1,4,0,1,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Total,,200,67,43,29,55,21,12,33,17,17,9,8,11,1,3,61,0,20,47,7,24,6,11,Maccabi_Tel-Aviv,H,22,23,Guni Israeli
Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Rawle Alkins,*,34,15,62,20,100,5,1,6,2,4,0,1,5,3,0,23,-2,5,8,1,5,2,2,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Lennard Freeman,*,29,12,67,0,0,6,2,8,4,3,0,2,3,0,0,17,6,6,9,0,0,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Tomer Asayag,,27,9,100,25,0,5,0,5,0,2,3,3,6,0,0,19,8,3,3,1,4,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Lior Carreira,*,15,5,100,100,0,3,0,3,1,0,0,1,3,0,0,9,4,1,1,1,1,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Shahar Amir,,13,3,0,50,0,0,0,0,2,0,0,1,0,0,0,-1,-6,0,0,1,2,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Marcus Carr,*,35,18,67,30,50,5,0,5,2,4,1,5,4,0,0,15,3,4,6,3,10,1,2,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Yotam Hanochi,,14,4,100,0,0,3,0,3,3,0,0,1,0,1,0,1,-7,2,2,0,3,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Lucas Goldenberg,*,33,17,80,60,0,2,1,3,4,2,2,1,2,0,0,18,4,4,5,3,5,0,0,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Total,,200,83,74,33,75,30,5,35,18,15,6,15,23,4,0,103,0,25,34,10,30,3,4,Maccabi_Ramat_Gan,A,21,22,Guni Israeli
Team,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Rawle Alkins,*,33,29,58,75,86,5,2,7,0,4,0,1,2,0,0,34,10,7,12,3,4,6,7,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Lennard Freeman,*,21,8,43,0,67,5,2,7,0,2,0,1,0,0,1,10,-9,3,7,0,0,2,3,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Tomer Asayag,,14,2,100,0,0,2,0,2,3,1,0,3,0,0,0,-2,-14,1,1,0,1,0,0,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Lior Carreira,*,32,8,33,33,0,2,0,2,1,0,1,4,7,0,0,7,0,1,3,2,6,0,0,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Marcus Carr,*,33,22,67,50,100,5,1,6,4,6,0,2,9,0,0,32,-1,2,3,4,8,6,6,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Yotam Hanochi,,10,2,50,0,0,1,0,1,1,0,0,0,0,0,0,-1,-17,1,2,0,2,0,0,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
DJ Kennedy,,26,12,60,100,75,6,3,9,3,3,2,1,1,0,1,19,-1,3,5,1,1,3,4,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Lucas Goldenberg,*,31,1,0,0,50,3,0,3,5,2,2,2,0,0,0,-3,7,0,0,0,3,1,2,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Total,,200,84,55,40,82,30,8,38,17,18,5,14,19,0,2,97,0,18,33,10,25,18,22,Be'er_Sheva_Dimona,A,26,26,Guni Israeli
Team,,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,25,25,Guni Israeli
Rawle Alkins,*,35,12,57,0,67,7,1,8,1,3,2,1,4,1,0,19,9,4,7,0,4,4,6,Hapoel_Jerusalem,H,25,25,Guni Israeli
Lennard Freeman,*,27,5,33,0,43,2,2,4,4,5,1,1,1,0,1,4,16,1,3,0,0,3,7,Hapoel_Jerusalem,H,25,25,Guni Israeli
Tomer Asayag,,17,7,50,0,75,4,0,4,2,2,0,2,2,0,0,7,-3,2,4,0,1,3,4,Hapoel_Jerusalem,H,25,25,Guni Israeli
Lior Carreira,*,37,16,60,40,100,3,1,4,2,3,1,2,0,0,0,15,8,3,5,2,5,4,4,Hapoel_Jerusalem,H,25,25,Guni Israeli
Marcus Carr,*,35,26,67,60,0,2,0,2,3,1,1,3,10,1,0,29,6,4,6,6,10,0,0,Hapoel_Jerusalem,H,25,25,Guni Israeli
Yotam Hanochi,,13,3,0,50,0,2,0,2,0,0,0,0,0,0,1,0,-6,0,3,1,2,0,0,Hapoel_Jerusalem,H,25,25,Guni Israeli
DJ Kennedy,,26,15,75,0,60,3,0,3,2,4,4,2,1,0,0,19,-14,6,8,0,0,3,5,Hapoel_Jerusalem,H,25,25,Guni Israeli
Ron Cohen,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hapoel_Jerusalem,H,25,25,Guni Israeli
Lucas Goldenberg,*,34,3,0,50,0,7,0,7,3,4,0,2,5,0,0,11,8,0,2,1,2,0,0,Hapoel_Jerusalem,H,25,25,Guni Israeli
Total,,225,87,53,42,65,31,9,40,17,22,9,13,23,2,2,110,0,20,38,10,24,17,26,Hapoel_Jerusalem,H,25,25,Guni Israeli
Team,,0,0,0,0,0,3,3,6,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,Elitzur_Netanya,A,19,20,Guni Israeli
Rawle Alkins,*,28,12,56,0,40,1,1,2,0,4,1,1,1,1,0,10,-23,5,9,0,3,2,5,Elitzur_Netanya,A,19,20,Guni Israeli
